;article_name;authors;article_url;doi;volume_name;volumen_date;volume_url
10;The effects of monetary policy on consumption: Workers vs. retirees;['[Kim, Myunghyun]', '[Song, Sang-yoon]'];https://www.sciencedirect.com/science/article/pii/S0164070422000660;https://doi.org/10.1016/j.jmacro.2022.103473;Volume 74 ;December 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/74/suppl/C
11;Editorial Board;[];https://www.sciencedirect.com/science/article/pii/S0164070422000581;https://doi.org/10.1016/S0164-0704(22)00058-1;Volume 73 ;September 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/73/suppl/C
12;Balanced-budget fiscal rules and money growth pegging;['[Le Riche, Antoine]'];https://www.sciencedirect.com/science/article/pii/S0164070422000283;https://doi.org/10.1016/j.jmacro.2022.103428;Volume 73 ;September 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/73/suppl/C
13;Forward guidance matters: Disentangling monetary policy shocks;['[Ferreira, Leonardo N.]'];https://www.sciencedirect.com/science/article/pii/S0164070422000246;https://doi.org/10.1016/j.jmacro.2022.103423;Volume 73 ;September 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/73/suppl/C
14;Time-varying capital intensities and the hump-shaped evolution of economic activity in manufacturing;['[Sáenz, Luis Felipe]'];https://www.sciencedirect.com/science/article/pii/S0164070422000271;https://doi.org/10.1016/j.jmacro.2022.103429;Volume 73 ;September 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/73/suppl/C
15;The impact of uncertainty shocks on state-level employment;['[Hankins, William B.]', '[Cheng, Chak Hung Jack]', '[Stone, Anna-Leigh]'];https://www.sciencedirect.com/science/article/pii/S016407042200026X;https://doi.org/10.1016/j.jmacro.2022.103426;Volume 73 ;September 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/73/suppl/C
16;Macroeconomic impacts of remittances: A two-country, two-sector model;['[Lim, Sokchea]', '[Khun, Channary]'];https://www.sciencedirect.com/science/article/pii/S0164070422000404;https://doi.org/10.1016/j.jmacro.2022.103443;Volume 73 ;September 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/73/suppl/C
17;Heterogeneity in sectoral price and quantity responses to shocks to monetary policy;['[Özmen, M. Utku]', '[Tuğan, Mustafa]'];https://www.sciencedirect.com/science/article/pii/S0164070422000386;https://doi.org/10.1016/j.jmacro.2022.103439;Volume 73 ;September 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/73/suppl/C
18;The impact of providing information about the ECB’s instruments on inflation expectations and trust in the ECB: Experimental evidence;['[Brouwer, Nils]', '[de Haan, Jakob]'];https://www.sciencedirect.com/science/article/pii/S0164070422000295;https://doi.org/10.1016/j.jmacro.2022.103430;Volume 73 ;September 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/73/suppl/C
19;Learning with unobserved regimes;['[Cone, Thomas E.]'];https://www.sciencedirect.com/science/article/pii/S0164070422000398;https://doi.org/10.1016/j.jmacro.2022.103441;Volume 73 ;September 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/73/suppl/C
20;The fiscal response to the Italian COVID-19 crisis: A counterfactual analysis;"['[Di Bartolomeo, Giovanni]', ""[D'Imperio, Paolo]"", '[Felici, Francesco]']";https://www.sciencedirect.com/science/article/pii/S0164070422000441;https://doi.org/10.1016/j.jmacro.2022.103447;Volume 73 ;September 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/73/suppl/C
21;The international real business cycle when demand matters;['[Cavallari, Lilia]'];https://www.sciencedirect.com/science/article/pii/S0164070422000428;https://doi.org/10.1016/j.jmacro.2022.103445;Volume 73 ;September 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/73/suppl/C
22;Was India’s demonetization redistributive? Insights from satellites and surveys;['[Chanda, Areendam]', '[Cook, C. Justin]'];https://www.sciencedirect.com/science/article/pii/S0164070422000374;https://doi.org/10.1016/j.jmacro.2022.103438;Volume 73 ;September 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/73/suppl/C
23;The age for austerity? Population age structure and fiscal consolidation multipliers;['[Kopecky, Joseph]'];https://www.sciencedirect.com/science/article/pii/S0164070422000416;https://doi.org/10.1016/j.jmacro.2022.103444;Volume 73 ;September 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/73/suppl/C
24;Government spending news and surprise shocks: It’s the timing and persistence;['[Kang, Jihye]', '[Kim, Soyoung]'];https://www.sciencedirect.com/science/article/pii/S016407042200043X;https://doi.org/10.1016/j.jmacro.2022.103446;Volume 73 ;September 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/73/suppl/C
25;The medium-run Phillips curve: A time–frequency investigation for the UK;['[Fratianni, Michele]', '[Gallegati, Marco]', '[Giri, Federico]'];https://www.sciencedirect.com/science/article/pii/S0164070422000465;https://doi.org/10.1016/j.jmacro.2022.103450;Volume 73 ;September 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/73/suppl/C
26;Monetary policy rules and the equity premium in a segmented markets model;['[Peng, Yulei]', '[Zervou, Anastasia]'];https://www.sciencedirect.com/science/article/pii/S0164070422000453;https://doi.org/10.1016/j.jmacro.2022.103448;Volume 73 ;September 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/73/suppl/C
27;Business cycle asymmetries and the labor market;['[Kohlbrecher, Britta]', '[Merkl, Christian]'];https://www.sciencedirect.com/science/article/pii/S0164070422000520;https://doi.org/10.1016/j.jmacro.2022.103458;Volume 73 ;September 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/73/suppl/C
28;On the welfare cost of business cycles: The role of labor-market heterogeneity;['[Jeong, Jaehun]', '[Shim, Myungkyu]'];https://www.sciencedirect.com/science/article/pii/S0164070422000519;https://doi.org/10.1016/j.jmacro.2022.103456;Volume 73 ;September 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/73/suppl/C
29;Editorial Board;[];https://www.sciencedirect.com/science/article/pii/S0164070422000349;https://doi.org/10.1016/S0164-0704(22)00034-9;Volume 72 ;June 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/72/suppl/C
30;A cautionary note on linear aggregation in macroeconomic models under the RINCE preferences;['[Waki, Yuichiro]'];https://www.sciencedirect.com/science/article/pii/S0164070422000222;https://doi.org/10.1016/j.jmacro.2022.103421;Volume 72 ;June 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/72/suppl/C
31;Sectoral spillovers across space and time;['[Das, Sonali]', '[Magistretti, Giacomo]', '[Pugacheva, Evgenia]', '[Wingender, Philippe]'];https://www.sciencedirect.com/science/article/pii/S0164070422000234;https://doi.org/10.1016/j.jmacro.2022.103422;Volume 72 ;June 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/72/suppl/C
32;Upstream financial flows, intangible investment, and allocative efficiency;['[Zhang, Haiping]'];https://www.sciencedirect.com/science/article/pii/S0164070422000258;https://doi.org/10.1016/j.jmacro.2022.103425;Volume 72 ;June 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/72/suppl/C
33;Information spillovers of US monetary policy;['[Gai, Prasanna]', '[Tong, Eric]'];https://www.sciencedirect.com/science/article/pii/S0164070422000052;https://doi.org/10.1016/j.jmacro.2022.103401;Volume 72 ;June 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/72/suppl/C
34;Rent-seeking government and endogenous takeoff in a Schumpeterian economy;['[Chu, Angus C.]', '[Furukawa, Yuichi]', '[Wang, Xilin]'];https://www.sciencedirect.com/science/article/pii/S0164070422000039;https://doi.org/10.1016/j.jmacro.2022.103399;Volume 72 ;June 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/72/suppl/C
35;Fiscal stabilization in high-debt economies without monetary independence;['[Germaschewski, Yin]', '[Wang, Shu-Ling]'];https://www.sciencedirect.com/science/article/pii/S0164070422000027;https://doi.org/10.1016/j.jmacro.2022.103398;Volume 72 ;June 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/72/suppl/C
36;Menu costs and information rigidity: Evidence from the consumption tax hike in Japan;['[Shoji, Toshiaki]'];https://www.sciencedirect.com/science/article/pii/S0164070422000040;https://doi.org/10.1016/j.jmacro.2022.103400;Volume 72 ;June 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/72/suppl/C
37;What drives fluctuations of labor wedge and business cycles? Evidence from Japan;['[Inaba, Masaru]', '[Nutahara, Kengo]', '[Shirai, Daichi]'];https://www.sciencedirect.com/science/article/pii/S0164070422000064;https://doi.org/10.1016/j.jmacro.2022.103402;Volume 72 ;June 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/72/suppl/C
38;Laffer curves in emerging market economies: The role of informality;['[Alba, Carlos]', '[McKnight, Stephen]'];https://www.sciencedirect.com/science/article/pii/S0164070422000143;https://doi.org/10.1016/j.jmacro.2022.103411;Volume 72 ;June 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/72/suppl/C
39;Risk aversion and longevity in an overlapping generations model;['[Futagami, Koichi]', '[Sunaga, Miho]'];https://www.sciencedirect.com/science/article/pii/S0164070422000179;https://doi.org/10.1016/j.jmacro.2022.103415;Volume 72 ;June 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/72/suppl/C
40;Income inequality measures and economic growth channels;['[Blotevogel, Robert]', '[Imamoglu, Eslem]', '[Moriyama, Kenji]', '[Sarr, Babacar]'];https://www.sciencedirect.com/science/article/pii/S0164070422000167;https://doi.org/10.1016/j.jmacro.2022.103413;Volume 72 ;June 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/72/suppl/C
41;Sources of economic growth in models with non-renewable resources;['[Sriket, Hongsilp]', '[Suen, Richard M.H.]'];https://www.sciencedirect.com/science/article/pii/S0164070422000180;https://doi.org/10.1016/j.jmacro.2022.103416;Volume 72 ;June 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/72/suppl/C
42;Public sector employment and aggregate fluctuations;['[Bettoni, Luis G.]', '[Santos, Marcelo R.]'];https://www.sciencedirect.com/science/article/pii/S0164070422000209;https://doi.org/10.1016/j.jmacro.2022.103418;Volume 72 ;June 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/72/suppl/C
43;Ambiguous economic news and heterogeneity: What explains asymmetric consumption responses?;['[Corrado, Luisa]', '[Silgado-Gómez, Edgar]', '[Yoo, Donghoon]', '[Waldmann, Robert]'];https://www.sciencedirect.com/science/article/pii/S0164070422000155;https://doi.org/10.1016/j.jmacro.2022.103412;Volume 72 ;June 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/72/suppl/C
44;Endogenous wage indexation and aggregate shocks;['[Carrillo, Julio A.]', '[Peersman, Gert]', '[Wauters, Joris]'];https://www.sciencedirect.com/science/article/pii/S0164070422000192;https://doi.org/10.1016/j.jmacro.2022.103417;Volume 72 ;June 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/72/suppl/C
45;Business exit during the COVID-19 pandemic: Non-traditional measures in historical context;['[Crane, Leland D.]', '[Decker, Ryan A.]', '[Flaaen, Aaron]', '[Hamins-Puertolas, Adrian]', '[Kurz, Christopher]'];https://www.sciencedirect.com/science/article/pii/S0164070422000210;https://doi.org/10.1016/j.jmacro.2022.103419;Volume 72 ;June 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/72/suppl/C
46;Editorial Board;[];https://www.sciencedirect.com/science/article/pii/S0164070422000106;https://doi.org/10.1016/S0164-0704(22)00010-6;Volume 71 ;March 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/71/suppl/C
47;Time-of-day and day-of-week variations in Amazon Mechanical Turk survey responses;['[Binder, Carola Conces]'];https://www.sciencedirect.com/science/article/pii/S016407042100077X;https://doi.org/10.1016/j.jmacro.2021.103378;Volume 71 ;March 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/71/suppl/C
48;Adaptive learning with heterogeneous expectations in an estimated medium-scale New Keynesian model;['[Elias, Christopher J.]'];https://www.sciencedirect.com/science/article/pii/S0164070421000781;https://doi.org/10.1016/j.jmacro.2021.103379;Volume 71 ;March 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/71/suppl/C
49;The impact of guidance, short-term dynamics and individual characteristics on firms’ long-term inflation expectations;['[Hunziker, Hans-Ueli]', '[Raggi, Christian]', '[Rosenblatt-Wisch, Rina]', '[Zanetti, Attilio]'];https://www.sciencedirect.com/science/article/pii/S0164070421000793;https://doi.org/10.1016/j.jmacro.2021.103380;Volume 71 ;March 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/71/suppl/C
50;Growing through endogenous innovation cycles;['[He, Sicheng]'];https://www.sciencedirect.com/science/article/pii/S0164070421000872;https://doi.org/10.1016/j.jmacro.2021.103388;Volume 71 ;March 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/71/suppl/C
51;Delayed retirement policy and unemployment rates;['[Dai, Tiantian]', '[Fan, Hua]', '[Liu, Xiangbo]', '[Ma, Chao]'];https://www.sciencedirect.com/science/article/pii/S0164070421000860;https://doi.org/10.1016/j.jmacro.2021.103387;Volume 71 ;March 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/71/suppl/C
52;Uninsured idiosyncratic risk and the government asset Laffer curve;['[Nakajima, Tomoyuki]', '[Takahashi, Shuhei]'];https://www.sciencedirect.com/science/article/pii/S0164070421000896;https://doi.org/10.1016/j.jmacro.2021.103391;Volume 71 ;March 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/71/suppl/C
53;On the macroeconomic effects of news about innovations of information technology;['[Ahmed, M. Iqbal]', '[Farah, Quazi Fidia]'];https://www.sciencedirect.com/science/article/pii/S0164070421000884;https://doi.org/10.1016/j.jmacro.2021.103389;Volume 71 ;March 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/71/suppl/C
54;Trends and cycles in CO2 emissions and incomes: Cross-country evidence on decoupling;['[Cohen, Gail]', '[Jalles, Joao Tovar]', '[Loungani, Prakash]', '[Pizzuto, Pietro]'];https://www.sciencedirect.com/science/article/pii/S0164070422000015;https://doi.org/10.1016/j.jmacro.2022.103397;Volume 71 ;March 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/71/suppl/C
55;A central bank digital currency in a heterogeneous monetary union: Managing the effects on the bank lending channel;['[Fegatelli, Paolo]'];https://www.sciencedirect.com/science/article/pii/S0164070421000902;https://doi.org/10.1016/j.jmacro.2021.103392;Volume 71 ;March 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/71/suppl/C
56;Demographic structure, knowledge diffusion, and endogenous productivity growth;['[Davis, Colin]', '[Hashimoto, Ken-ichi]', '[Tabata, Ken]'];https://www.sciencedirect.com/science/article/pii/S0164070421000926;https://doi.org/10.1016/j.jmacro.2021.103396;Volume 71 ;March 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/71/suppl/C
57;Accounting for structural transformation in the U.S.;['[Marcolino, Marcos]'];https://www.sciencedirect.com/science/article/pii/S0164070421000914;https://doi.org/10.1016/j.jmacro.2021.103394;Volume 71 ;March 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/71/suppl/C
58;Exchange rate predictability with nine alternative models for BRICS countries;['[Salisu, Afees A.]', '[Gupta, Rangan]', '[Kim, Won Joong]'];https://www.sciencedirect.com/science/article/pii/S0164070421000732;https://doi.org/10.1016/j.jmacro.2021.103374;Volume 71 ;March 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/71/suppl/C
59;Editorial Board;[];https://www.sciencedirect.com/science/article/pii/S0164070421000835;https://doi.org/10.1016/S0164-0704(21)00083-5;Volume 70 ;December 2021;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/70/suppl/C
60;Guest editors’ introduction: Optimal monetary policy: Theory and practice;['[de Groot, Oliver]', '[Motto, Roberto]'];https://www.sciencedirect.com/science/article/pii/S0164070421000744;https://doi.org/10.1016/j.jmacro.2021.103375;Volume 70 ;December 2021;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/70/suppl/C
61;Asymmetric monetary policy rules for the euro area and the US;['[Maih, Junior]', '[Mazelis, Falk]', '[Motto, Roberto]', '[Ristiniemi, Annukka]'];https://www.sciencedirect.com/science/article/pii/S0164070421000756;https://doi.org/10.1016/j.jmacro.2021.103376;Volume 70 ;December 2021;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/70/suppl/C
62;Fed and ECB monetary policy spillovers to Emerging Market Economies;['[Walerych, Małgorzata]', '[Wesołowski, Grzegorz]'];https://www.sciencedirect.com/science/article/pii/S0164070421000483;https://doi.org/10.1016/j.jmacro.2021.103345;Volume 70 ;December 2021;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/70/suppl/C
63;(In)Effective tax enforcement and demand for cash;['[Antón, Arturo]', '[Hernández-Trillo, Fausto]', '[Ventosa-Santaulària, Daniel]'];https://www.sciencedirect.com/science/article/pii/S0164070421000525;https://doi.org/10.1016/j.jmacro.2021.103350;Volume 70 ;December 2021;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/70/suppl/C
64;Business cycle fluctuations in Taiwan — A Bayesian DSGE analysis;['[Lin, Yi Chun]'];https://www.sciencedirect.com/science/article/pii/S0164070421000513;https://doi.org/10.1016/j.jmacro.2021.103349;Volume 70 ;December 2021;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/70/suppl/C
65;Gender discrimination, inflation, and the business cycle;['[Neyer, Ulrike]', '[Stempel, Daniel]'];https://www.sciencedirect.com/science/article/pii/S0164070421000537;https://doi.org/10.1016/j.jmacro.2021.103352;Volume 70 ;December 2021;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/70/suppl/C
66;Forward inflation expectations: Evidence from inflation caps and floors;['[Chipeniuk, Karsten O.]', '[Walker, Todd B.]'];https://www.sciencedirect.com/science/article/pii/S0164070421000501;https://doi.org/10.1016/j.jmacro.2021.103348;Volume 70 ;December 2021;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/70/suppl/C
67;Financial distress and fiscal inflation;['[Li, Bing]', '[Pei, Pei]', '[Tan, Fei]'];https://www.sciencedirect.com/science/article/pii/S0164070421000549;https://doi.org/10.1016/j.jmacro.2021.103353;Volume 70 ;December 2021;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/70/suppl/C
68;Migration, community networks and welfare in neoclassical growth models;['[Parello, Carmelo Pierpaolo]', '[Ikhenaode, Bright Isaac]'];https://www.sciencedirect.com/science/article/pii/S0164070421000689;https://doi.org/10.1016/j.jmacro.2021.103369;Volume 70 ;December 2021;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/70/suppl/C
69;Monetary policy and credit flows;['[Bianco, Timothy]'];https://www.sciencedirect.com/science/article/pii/S016407042100063X;https://doi.org/10.1016/j.jmacro.2021.103362;Volume 70 ;December 2021;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/70/suppl/C
70;Imperfect credibility, sticky wages, and welfare;['[Nunes, Ricardo]', '[Park, Donghyun]', '[Rondina, Luca]'];https://www.sciencedirect.com/science/article/pii/S0164070421000641;https://doi.org/10.1016/j.jmacro.2021.103363;Volume 70 ;December 2021;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/70/suppl/C
71;Optimal monetary–fiscal policy in the euro area liquidity crisis;['[Filiani, Pasquale]'];https://www.sciencedirect.com/science/article/pii/S0164070421000653;https://doi.org/10.1016/j.jmacro.2021.103364;Volume 70 ;December 2021;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/70/suppl/C
72;Monetary policy strategies in the New Normal: A model-based analysis for the euro area;['[Busetti, Fabio]', '[Neri, Stefano]', '[Notarpietro, Alessandro]', '[Pisani, Massimiliano]'];https://www.sciencedirect.com/science/article/pii/S0164070421000665;https://doi.org/10.1016/j.jmacro.2021.103366;Volume 70 ;December 2021;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/70/suppl/C
73;Pre- and Post-Global Financial Crisis Policy Multipliers#;['[Ouliaris, Sam]', '[Rochon, Celine]'];https://www.sciencedirect.com/science/article/pii/S0164070421000690;https://doi.org/10.1016/j.jmacro.2021.103370;Volume 70 ;December 2021;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/70/suppl/C
74;Behind rising inequality and falling growth;['[Lee, Jangyoun]'];https://www.sciencedirect.com/science/article/pii/S0164070421000707;https://doi.org/10.1016/j.jmacro.2021.103371;Volume 70 ;December 2021;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/70/suppl/C
75;News-driven international credit cycles;['[Ozhan, Galip Kemal]'];https://www.sciencedirect.com/science/article/pii/S0164070421000719;https://doi.org/10.1016/j.jmacro.2021.103372;Volume 70 ;December 2021;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/70/suppl/C
76;Political booms and currency crises;['[Sever, Can]'];https://www.sciencedirect.com/science/article/pii/S0164070421000720;https://doi.org/10.1016/j.jmacro.2021.103373;Volume 70 ;December 2021;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/70/suppl/C
77;On the marginal excess burden of taxation in an overlapping generations model;['[Tran, Chung]', '[Wende, Sebastian]'];https://www.sciencedirect.com/science/article/pii/S0164070421000768;https://doi.org/10.1016/j.jmacro.2021.103377;Volume 70 ;December 2021;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/70/suppl/C
78;Corrigendum to “Money Demand and Seignorage Maximization Before the End of the Zimbabwean Dollar”;['[Miller, Stephen Matteo]', '[Ndhlela, Thandinkosi]'];https://www.sciencedirect.com/science/article/pii/S0164070421000677;https://doi.org/10.1016/j.jmacro.2021.103367;Volume 70 ;December 2021;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/70/suppl/C
79;Editorial Board;[];https://www.sciencedirect.com/science/article/pii/S0164070421000586;https://doi.org/10.1016/S0164-0704(21)00058-6;Volume 69 ;September 2021;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/69/suppl/C
80;Generational conflict and education politics: Implications for growth and welfare;['[Uchida, Yuki]', '[Ono, Tetsuo]'];https://www.sciencedirect.com/science/article/pii/S0164070421000240;https://doi.org/10.1016/j.jmacro.2021.103315;Volume 69 ;September 2021;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/69/suppl/C
81;Offshoring, computerization, labor market polarization and top income inequality;['[Cavenaile, Laurent]'];https://www.sciencedirect.com/science/article/pii/S0164070421000252;https://doi.org/10.1016/j.jmacro.2021.103317;Volume 69 ;September 2021;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/69/suppl/C
82;Labor productivity forecasts based on a Beveridge–Nelson filter: Is there statistical evidence for a slowdown?;['[Biolsi, Christopher]'];https://www.sciencedirect.com/science/article/pii/S0164070421000276;https://doi.org/10.1016/j.jmacro.2021.103321;Volume 69 ;September 2021;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/69/suppl/C
83;“When it rains, it pours”: Fiscal policy, credit constraints and business cycles in emerging and developed economies;['[Dzhambova, Krastina]'];https://www.sciencedirect.com/science/article/pii/S0164070421000264;https://doi.org/10.1016/j.jmacro.2021.103319;Volume 69 ;September 2021;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/69/suppl/C
84;Bank lending and interest on excess reserves: An empirical investigation;['[Hogan, Thomas L.]'];https://www.sciencedirect.com/science/article/pii/S0164070421000380;https://doi.org/10.1016/j.jmacro.2021.103333;Volume 69 ;September 2021;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/69/suppl/C
85;The shape of recovery: Implications of past experience for the duration of the COVID-19 recession;['[Eichengreen, Barry]', '[Park, Donghyun]', '[Shin, Kwanho]'];https://www.sciencedirect.com/science/article/pii/S0164070421000367;https://doi.org/10.1016/j.jmacro.2021.103330;Volume 69 ;September 2021;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/69/suppl/C
86;Asymmetric effects of uncertainty shocks: Normal times and financial disruptions are different;['[Nalban, Valeriu]', '[Smădu, Andra]'];https://www.sciencedirect.com/science/article/pii/S0164070421000379;https://doi.org/10.1016/j.jmacro.2021.103331;Volume 69 ;September 2021;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/69/suppl/C
87;Shifting from pay-as-you-go to individual retirement accounts: A path to a sustainable pension system;['[Lin, Hsuan-Chih]', '[Tanaka, Atsuko]', '[Wu, Po-Shyan]'];https://www.sciencedirect.com/science/article/pii/S0164070421000355;https://doi.org/10.1016/j.jmacro.2021.103329;Volume 69 ;September 2021;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/69/suppl/C
