;article_name;authors;article_url;doi;volume_name;volume_date;volume_url
10;Age-specific entrepreneurship and PAYG: Public pensions in Germany;['Heer, Burkhard', 'Trede, Mark'];https://www.sciencedirect.com/science/article/pii/S0164070422000817;https://doi.org/10.1016/j.jmacro.2022.103488;Volume 75 ;March 2023;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/75/suppl/C
11;Government expenditure and economic growth: A heterogeneous-agents approach;['Arawatari, Ryo', 'Hori, Takeo', 'Mino, Kazuo'];https://www.sciencedirect.com/science/article/pii/S0164070422000799;https://doi.org/10.1016/j.jmacro.2022.103486;Volume 75 ;March 2023;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/75/suppl/C
12;How can financial constraints force a central bank to exit a currency peg? An application to the Swiss franc peg;['Pinter, Julien', 'Pourroy, Marc'];https://www.sciencedirect.com/science/article/pii/S0164070422000866;https://doi.org/10.1016/j.jmacro.2022.103493;Volume 75 ;March 2023;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/75/suppl/C
13;Consumer preferences, the demand for Divisia money, and the welfare costs of inflation;['Serletis, Apostolos', 'Xu, Libo'];https://www.sciencedirect.com/science/article/pii/S0164070422000830;https://doi.org/10.1016/j.jmacro.2022.103490;Volume 75 ;March 2023;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/75/suppl/C
14;Policy coordination and the effectiveness of fiscal stimulus;['Kim, Hyeongwoo', 'Shao, Peng', 'Zhang, Shuwei'];https://www.sciencedirect.com/science/article/pii/S0164070422000829;https://doi.org/10.1016/j.jmacro.2022.103489;Volume 75 ;March 2023;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/75/suppl/C
15;Are monetary policy shocks causal to bank health? Evidence from the euro area;['Jung, Alexander'];https://www.sciencedirect.com/science/article/pii/S0164070422000878;https://doi.org/10.1016/j.jmacro.2022.103494;Volume 75 ;March 2023;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/75/suppl/C
16;Loss-of-learning and the post-Covid recovery in low-income countries;['Buffie, Edward F.', 'Adam, Christopher', 'Zanna, Luis-Felipe', 'Kpodar, Kangni'];https://www.sciencedirect.com/science/article/pii/S0164070422000854;https://doi.org/10.1016/j.jmacro.2022.103492;Volume 75 ;March 2023;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/75/suppl/C
17;Inflation targeting and inflation communication of the Federal Reserve: Words and deeds;['Hüpper, Florian', 'Kempa, Bernd'];https://www.sciencedirect.com/science/article/pii/S0164070422000908;https://doi.org/10.1016/j.jmacro.2022.103497;Volume 75 ;March 2023;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/75/suppl/C
18;Measuring the size and dynamics of U.S. state-level shadow economies using a dynamic general equilibrium model with trends;['Marshall, Emily C.', 'Saunoris, James', 'Solis-Garcia, Mario', 'Do, Trang'];https://www.sciencedirect.com/science/article/pii/S0164070422000842;https://doi.org/10.1016/j.jmacro.2022.103491;Volume 75 ;March 2023;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/75/suppl/C
19;Monetary policy, fiscal policy and cross signal jamming;['Kim, Jeong-Yoo', 'Choi, Hyung Sun'];https://www.sciencedirect.com/science/article/pii/S0164070422000933;https://doi.org/10.1016/j.jmacro.2022.103500;Volume 75 ;March 2023;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/75/suppl/C
20;Labour market rigidity and expansionary austerity;['Tafuro, Andrea'];https://www.sciencedirect.com/science/article/pii/S016407042200088X;https://doi.org/10.1016/j.jmacro.2022.103495;Volume 75 ;March 2023;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/75/suppl/C
21;Do the Hamilton and Beveridge–Nelson filters provide the same information about output gaps? An empirical comparison for practitioners;['Biolsi, Christopher'];https://www.sciencedirect.com/science/article/pii/S0164070422000891;https://doi.org/10.1016/j.jmacro.2022.103496;Volume 75 ;March 2023;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/75/suppl/C
22;Monetary and fiscal coordination in preventing bank failures and financial contagion;['Sim, Khai Zhi'];https://www.sciencedirect.com/science/article/pii/S016407042200091X;https://doi.org/10.1016/j.jmacro.2022.103498;Volume 75 ;March 2023;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/75/suppl/C
23;Quantifying the uncertainty of long-term macroeconomic projections;['Demirel, Ufuk Devrim', 'Otterson, James'];https://www.sciencedirect.com/science/article/pii/S0164070423000010;https://doi.org/10.1016/j.jmacro.2023.103501;Volume 75 ;March 2023;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/75/suppl/C
24;Automation and the employment elasticity of fiscal policy;['Ebeke, Christian H.', 'Eklou, Kodjovi M.'];https://www.sciencedirect.com/science/article/pii/S0164070423000022;https://doi.org/10.1016/j.jmacro.2023.103502;Volume 75 ;March 2023;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/75/suppl/C
25;A political economy approach to endogenous industrial policies;['Cheng, Wan-Jung'];https://www.sciencedirect.com/science/article/pii/S0164070422000921;https://doi.org/10.1016/j.jmacro.2022.103499;Volume 75 ;March 2023;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/75/suppl/C
26;Data deepening and nonbalanced economic growth;['Freeman, Richard B.', 'Yang, Buyuan', 'Zhang, Baitao'];https://www.sciencedirect.com/science/article/pii/S0164070423000034;https://doi.org/10.1016/j.jmacro.2023.103503;Volume 75 ;March 2023;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/75/suppl/C
27;Editorial Board;[];https://www.sciencedirect.com/science/article/pii/S0164070422000726;https://doi.org/10.1016/S0164-0704(22)00072-6;Volume 74 ;December 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/74/suppl/C
28;Congestion in a public health service: A macro approach;['Kelly, Mark', 'Kuhn, Michael'];https://www.sciencedirect.com/science/article/pii/S0164070422000477;https://doi.org/10.1016/j.jmacro.2022.103451;Volume 74 ;December 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/74/suppl/C
29;The wage dispersion effects of international migration in the European Union;['Sargent, Kristina'];https://www.sciencedirect.com/science/article/pii/S0164070422000490;https://doi.org/10.1016/j.jmacro.2022.103454;Volume 74 ;December 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/74/suppl/C
30;Balanced-budget rules and macroeconomic stability with overlapping generations;['Guo, Jang-Ting', 'Zhang, Yan'];https://www.sciencedirect.com/science/article/pii/S0164070422000507;https://doi.org/10.1016/j.jmacro.2022.103455;Volume 74 ;December 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/74/suppl/C
31;Illiquid investments and the non-monotone relationship between credit and growth;['Salas, Sergio', 'Odell, Kathleen'];https://www.sciencedirect.com/science/article/pii/S0164070422000532;https://doi.org/10.1016/j.jmacro.2022.103459;Volume 74 ;December 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/74/suppl/C
32;The health gap and its effect on economic outcomes;['Kasuga, Hidefumi', 'Morita, Yuichi'];https://www.sciencedirect.com/science/article/pii/S0164070422000544;https://doi.org/10.1016/j.jmacro.2022.103461;Volume 74 ;December 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/74/suppl/C
33;Informal employment and business cycles in emerging market economies;['Coşkun, Sevgi'];https://www.sciencedirect.com/science/article/pii/S0164070422000489;https://doi.org/10.1016/j.jmacro.2022.103452;Volume 74 ;December 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/74/suppl/C
34;Classification of monetary and fiscal dominance regimes using machine learning techniques;['Hinterlang, Natascha', 'Hollmayr, Josef'];https://www.sciencedirect.com/science/article/pii/S0164070422000623;https://doi.org/10.1016/j.jmacro.2022.103469;Volume 74 ;December 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/74/suppl/C
35;Private and public risk sharing across Italian regions;['Fiorelli, Cristiana', 'Giannini, Massimo', 'Martini, Barbara'];https://www.sciencedirect.com/science/article/pii/S0164070422000635;https://doi.org/10.1016/j.jmacro.2022.103470;Volume 74 ;December 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/74/suppl/C
36;The macroeconomic impact of radical right populist parties in government;['Ferré, Montserrat', 'Manzano, Carolina'];https://www.sciencedirect.com/science/article/pii/S0164070422000647;https://doi.org/10.1016/j.jmacro.2022.103471;Volume 74 ;December 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/74/suppl/C
37;The effects of monetary policy on consumption: Workers vs. retirees;['Kim, Myunghyun', 'Song, Sang-yoon'];https://www.sciencedirect.com/science/article/pii/S0164070422000660;https://doi.org/10.1016/j.jmacro.2022.103473;Volume 74 ;December 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/74/suppl/C
38;Editorial Board;[];https://www.sciencedirect.com/science/article/pii/S0164070422000581;https://doi.org/10.1016/S0164-0704(22)00058-1;Volume 73 ;September 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/73/suppl/C
39;Balanced-budget fiscal rules and money growth pegging;['Le Riche, Antoine'];https://www.sciencedirect.com/science/article/pii/S0164070422000283;https://doi.org/10.1016/j.jmacro.2022.103428;Volume 73 ;September 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/73/suppl/C
40;Forward guidance matters: Disentangling monetary policy shocks;['Ferreira, Leonardo N.'];https://www.sciencedirect.com/science/article/pii/S0164070422000246;https://doi.org/10.1016/j.jmacro.2022.103423;Volume 73 ;September 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/73/suppl/C
41;Time-varying capital intensities and the hump-shaped evolution of economic activity in manufacturing;['Sáenz, Luis Felipe'];https://www.sciencedirect.com/science/article/pii/S0164070422000271;https://doi.org/10.1016/j.jmacro.2022.103429;Volume 73 ;September 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/73/suppl/C
42;The impact of uncertainty shocks on state-level employment;['Hankins, William B.', 'Cheng, Chak Hung Jack', 'Stone, Anna-Leigh'];https://www.sciencedirect.com/science/article/pii/S016407042200026X;https://doi.org/10.1016/j.jmacro.2022.103426;Volume 73 ;September 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/73/suppl/C
43;Macroeconomic impacts of remittances: A two-country, two-sector model;['Lim, Sokchea', 'Khun, Channary'];https://www.sciencedirect.com/science/article/pii/S0164070422000404;https://doi.org/10.1016/j.jmacro.2022.103443;Volume 73 ;September 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/73/suppl/C
44;Heterogeneity in sectoral price and quantity responses to shocks to monetary policy;['Özmen, M. Utku', 'Tuğan, Mustafa'];https://www.sciencedirect.com/science/article/pii/S0164070422000386;https://doi.org/10.1016/j.jmacro.2022.103439;Volume 73 ;September 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/73/suppl/C
45;The impact of providing information about the ECB’s instruments on inflation expectations and trust in the ECB: Experimental evidence;['Brouwer, Nils', 'de Haan, Jakob'];https://www.sciencedirect.com/science/article/pii/S0164070422000295;https://doi.org/10.1016/j.jmacro.2022.103430;Volume 73 ;September 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/73/suppl/C
46;Learning with unobserved regimes;['Cone, Thomas E.'];https://www.sciencedirect.com/science/article/pii/S0164070422000398;https://doi.org/10.1016/j.jmacro.2022.103441;Volume 73 ;September 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/73/suppl/C
47;The fiscal response to the Italian COVID-19 crisis: A counterfactual analysis;"['Di Bartolomeo, Giovanni', ""D'Imperio, Paolo"", 'Felici, Francesco']";https://www.sciencedirect.com/science/article/pii/S0164070422000441;https://doi.org/10.1016/j.jmacro.2022.103447;Volume 73 ;September 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/73/suppl/C
48;The international real business cycle when demand matters;['Cavallari, Lilia'];https://www.sciencedirect.com/science/article/pii/S0164070422000428;https://doi.org/10.1016/j.jmacro.2022.103445;Volume 73 ;September 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/73/suppl/C
49;Was India’s demonetization redistributive? Insights from satellites and surveys;['Chanda, Areendam', 'Cook, C. Justin'];https://www.sciencedirect.com/science/article/pii/S0164070422000374;https://doi.org/10.1016/j.jmacro.2022.103438;Volume 73 ;September 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/73/suppl/C
50;The age for austerity? Population age structure and fiscal consolidation multipliers;['Kopecky, Joseph'];https://www.sciencedirect.com/science/article/pii/S0164070422000416;https://doi.org/10.1016/j.jmacro.2022.103444;Volume 73 ;September 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/73/suppl/C
51;Government spending news and surprise shocks: It’s the timing and persistence;['Kang, Jihye', 'Kim, Soyoung'];https://www.sciencedirect.com/science/article/pii/S016407042200043X;https://doi.org/10.1016/j.jmacro.2022.103446;Volume 73 ;September 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/73/suppl/C
52;The medium-run Phillips curve: A time–frequency investigation for the UK;['Fratianni, Michele', 'Gallegati, Marco', 'Giri, Federico'];https://www.sciencedirect.com/science/article/pii/S0164070422000465;https://doi.org/10.1016/j.jmacro.2022.103450;Volume 73 ;September 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/73/suppl/C
53;Monetary policy rules and the equity premium in a segmented markets model;['Peng, Yulei', 'Zervou, Anastasia'];https://www.sciencedirect.com/science/article/pii/S0164070422000453;https://doi.org/10.1016/j.jmacro.2022.103448;Volume 73 ;September 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/73/suppl/C
54;Business cycle asymmetries and the labor market;['Kohlbrecher, Britta', 'Merkl, Christian'];https://www.sciencedirect.com/science/article/pii/S0164070422000520;https://doi.org/10.1016/j.jmacro.2022.103458;Volume 73 ;September 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/73/suppl/C
55;On the welfare cost of business cycles: The role of labor-market heterogeneity;['Jeong, Jaehun', 'Shim, Myungkyu'];https://www.sciencedirect.com/science/article/pii/S0164070422000519;https://doi.org/10.1016/j.jmacro.2022.103456;Volume 73 ;September 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/73/suppl/C
56;Editorial Board;[];https://www.sciencedirect.com/science/article/pii/S0164070422000349;https://doi.org/10.1016/S0164-0704(22)00034-9;Volume 72 ;June 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/72/suppl/C
57;A cautionary note on linear aggregation in macroeconomic models under the RINCE preferences;['Waki, Yuichiro'];https://www.sciencedirect.com/science/article/pii/S0164070422000222;https://doi.org/10.1016/j.jmacro.2022.103421;Volume 72 ;June 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/72/suppl/C
58;Sectoral spillovers across space and time;['Das, Sonali', 'Magistretti, Giacomo', 'Pugacheva, Evgenia', 'Wingender, Philippe'];https://www.sciencedirect.com/science/article/pii/S0164070422000234;https://doi.org/10.1016/j.jmacro.2022.103422;Volume 72 ;June 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/72/suppl/C
59;Upstream financial flows, intangible investment, and allocative efficiency;['Zhang, Haiping'];https://www.sciencedirect.com/science/article/pii/S0164070422000258;https://doi.org/10.1016/j.jmacro.2022.103425;Volume 72 ;June 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/72/suppl/C
60;Information spillovers of US monetary policy;['Gai, Prasanna', 'Tong, Eric'];https://www.sciencedirect.com/science/article/pii/S0164070422000052;https://doi.org/10.1016/j.jmacro.2022.103401;Volume 72 ;June 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/72/suppl/C
61;Rent-seeking government and endogenous takeoff in a Schumpeterian economy;['Chu, Angus C.', 'Furukawa, Yuichi', 'Wang, Xilin'];https://www.sciencedirect.com/science/article/pii/S0164070422000039;https://doi.org/10.1016/j.jmacro.2022.103399;Volume 72 ;June 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/72/suppl/C
62;Fiscal stabilization in high-debt economies without monetary independence;['Germaschewski, Yin', 'Wang, Shu-Ling'];https://www.sciencedirect.com/science/article/pii/S0164070422000027;https://doi.org/10.1016/j.jmacro.2022.103398;Volume 72 ;June 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/72/suppl/C
63;Menu costs and information rigidity: Evidence from the consumption tax hike in Japan;['Shoji, Toshiaki'];https://www.sciencedirect.com/science/article/pii/S0164070422000040;https://doi.org/10.1016/j.jmacro.2022.103400;Volume 72 ;June 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/72/suppl/C
64;What drives fluctuations of labor wedge and business cycles? Evidence from Japan;['Inaba, Masaru', 'Nutahara, Kengo', 'Shirai, Daichi'];https://www.sciencedirect.com/science/article/pii/S0164070422000064;https://doi.org/10.1016/j.jmacro.2022.103402;Volume 72 ;June 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/72/suppl/C
65;Laffer curves in emerging market economies: The role of informality;['Alba, Carlos', 'McKnight, Stephen'];https://www.sciencedirect.com/science/article/pii/S0164070422000143;https://doi.org/10.1016/j.jmacro.2022.103411;Volume 72 ;June 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/72/suppl/C
66;Risk aversion and longevity in an overlapping generations model;['Futagami, Koichi', 'Sunaga, Miho'];https://www.sciencedirect.com/science/article/pii/S0164070422000179;https://doi.org/10.1016/j.jmacro.2022.103415;Volume 72 ;June 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/72/suppl/C
67;Income inequality measures and economic growth channels;['Blotevogel, Robert', 'Imamoglu, Eslem', 'Moriyama, Kenji', 'Sarr, Babacar'];https://www.sciencedirect.com/science/article/pii/S0164070422000167;https://doi.org/10.1016/j.jmacro.2022.103413;Volume 72 ;June 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/72/suppl/C
68;Sources of economic growth in models with non-renewable resources;['Sriket, Hongsilp', 'Suen, Richard M.H.'];https://www.sciencedirect.com/science/article/pii/S0164070422000180;https://doi.org/10.1016/j.jmacro.2022.103416;Volume 72 ;June 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/72/suppl/C
69;Public sector employment and aggregate fluctuations;['Bettoni, Luis G.', 'Santos, Marcelo R.'];https://www.sciencedirect.com/science/article/pii/S0164070422000209;https://doi.org/10.1016/j.jmacro.2022.103418;Volume 72 ;June 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/72/suppl/C
70;Ambiguous economic news and heterogeneity: What explains asymmetric consumption responses?;['Corrado, Luisa', 'Silgado-Gómez, Edgar', 'Yoo, Donghoon', 'Waldmann, Robert'];https://www.sciencedirect.com/science/article/pii/S0164070422000155;https://doi.org/10.1016/j.jmacro.2022.103412;Volume 72 ;June 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/72/suppl/C
71;Endogenous wage indexation and aggregate shocks;['Carrillo, Julio A.', 'Peersman, Gert', 'Wauters, Joris'];https://www.sciencedirect.com/science/article/pii/S0164070422000192;https://doi.org/10.1016/j.jmacro.2022.103417;Volume 72 ;June 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/72/suppl/C
72;Business exit during the COVID-19 pandemic: Non-traditional measures in historical context;['Crane, Leland D.', 'Decker, Ryan A.', 'Flaaen, Aaron', 'Hamins-Puertolas, Adrian', 'Kurz, Christopher'];https://www.sciencedirect.com/science/article/pii/S0164070422000210;https://doi.org/10.1016/j.jmacro.2022.103419;Volume 72 ;June 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/72/suppl/C
73;Editorial Board;[];https://www.sciencedirect.com/science/article/pii/S0164070422000106;https://doi.org/10.1016/S0164-0704(22)00010-6;Volume 71 ;March 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/71/suppl/C
74;Time-of-day and day-of-week variations in Amazon Mechanical Turk survey responses;['Binder, Carola Conces'];https://www.sciencedirect.com/science/article/pii/S016407042100077X;https://doi.org/10.1016/j.jmacro.2021.103378;Volume 71 ;March 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/71/suppl/C
75;Adaptive learning with heterogeneous expectations in an estimated medium-scale New Keynesian model;['Elias, Christopher J.'];https://www.sciencedirect.com/science/article/pii/S0164070421000781;https://doi.org/10.1016/j.jmacro.2021.103379;Volume 71 ;March 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/71/suppl/C
76;The impact of guidance, short-term dynamics and individual characteristics on firms’ long-term inflation expectations;['Hunziker, Hans-Ueli', 'Raggi, Christian', 'Rosenblatt-Wisch, Rina', 'Zanetti, Attilio'];https://www.sciencedirect.com/science/article/pii/S0164070421000793;https://doi.org/10.1016/j.jmacro.2021.103380;Volume 71 ;March 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/71/suppl/C
77;Growing through endogenous innovation cycles;['He, Sicheng'];https://www.sciencedirect.com/science/article/pii/S0164070421000872;https://doi.org/10.1016/j.jmacro.2021.103388;Volume 71 ;March 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/71/suppl/C
78;Delayed retirement policy and unemployment rates;['Dai, Tiantian', 'Fan, Hua', 'Liu, Xiangbo', 'Ma, Chao'];https://www.sciencedirect.com/science/article/pii/S0164070421000860;https://doi.org/10.1016/j.jmacro.2021.103387;Volume 71 ;March 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/71/suppl/C
79;Uninsured idiosyncratic risk and the government asset Laffer curve;['Nakajima, Tomoyuki', 'Takahashi, Shuhei'];https://www.sciencedirect.com/science/article/pii/S0164070421000896;https://doi.org/10.1016/j.jmacro.2021.103391;Volume 71 ;March 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/71/suppl/C
80;On the macroeconomic effects of news about innovations of information technology;['Ahmed, M. Iqbal', 'Farah, Quazi Fidia'];https://www.sciencedirect.com/science/article/pii/S0164070421000884;https://doi.org/10.1016/j.jmacro.2021.103389;Volume 71 ;March 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/71/suppl/C
81;Trends and cycles in CO2 emissions and incomes: Cross-country evidence on decoupling;['Cohen, Gail', 'Jalles, Joao Tovar', 'Loungani, Prakash', 'Pizzuto, Pietro'];https://www.sciencedirect.com/science/article/pii/S0164070422000015;https://doi.org/10.1016/j.jmacro.2022.103397;Volume 71 ;March 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/71/suppl/C
82;A central bank digital currency in a heterogeneous monetary union: Managing the effects on the bank lending channel;['Fegatelli, Paolo'];https://www.sciencedirect.com/science/article/pii/S0164070421000902;https://doi.org/10.1016/j.jmacro.2021.103392;Volume 71 ;March 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/71/suppl/C
83;Demographic structure, knowledge diffusion, and endogenous productivity growth;['Davis, Colin', 'Hashimoto, Ken-ichi', 'Tabata, Ken'];https://www.sciencedirect.com/science/article/pii/S0164070421000926;https://doi.org/10.1016/j.jmacro.2021.103396;Volume 71 ;March 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/71/suppl/C
84;Accounting for structural transformation in the U.S.;['Marcolino, Marcos'];https://www.sciencedirect.com/science/article/pii/S0164070421000914;https://doi.org/10.1016/j.jmacro.2021.103394;Volume 71 ;March 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/71/suppl/C
85;Exchange rate predictability with nine alternative models for BRICS countries;['Salisu, Afees A.', 'Gupta, Rangan', 'Kim, Won Joong'];https://www.sciencedirect.com/science/article/pii/S0164070421000732;https://doi.org/10.1016/j.jmacro.2021.103374;Volume 71 ;March 2022;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/71/suppl/C
86;Editorial Board;[];https://www.sciencedirect.com/science/article/pii/S0164070421000835;https://doi.org/10.1016/S0164-0704(21)00083-5;Volume 70 ;December 2021;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/70/suppl/C
87;Guest editors’ introduction: Optimal monetary policy: Theory and practice;['de Groot, Oliver', 'Motto, Roberto'];https://www.sciencedirect.com/science/article/pii/S0164070421000744;https://doi.org/10.1016/j.jmacro.2021.103375;Volume 70 ;December 2021;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/70/suppl/C
88;Asymmetric monetary policy rules for the euro area and the US;['Maih, Junior', 'Mazelis, Falk', 'Motto, Roberto', 'Ristiniemi, Annukka'];https://www.sciencedirect.com/science/article/pii/S0164070421000756;https://doi.org/10.1016/j.jmacro.2021.103376;Volume 70 ;December 2021;https://www.sciencedirect.com/journal/journal-of-macroeconomics/vol/70/suppl/C
